,triple_sentences,summaries_triple_sentences
0,"Hey, everybody, welcome back. This week we're going to talk about something a little bit different than we do most weeks. Most weeks we talk about specific technical aspects of building machine learning powered products, but this week we're going to focus on some of the organizational things that you need to do in order to work together on ML powered products as part of an interdisciplinary team. So the reality of building ML powered products is that building any product well is really difficult. You have to figure out how to hire great people. You need to be able to manage of the organization against those requirements. But machine learning adds even more additional complexity to this. Machine learning talent tends to be very scarce and expensive to attract. Machine learning teams are not just a single role, but today they tend to be pretty interdisciplinary, which makes managing them an even bigger challenge. Machine learning projects often have unclear timelines, and there's a high degree of uncertainty to those timelines. Machine learning itself is moving super fast,","This week we focus on some of the organizational things that you need to do in order to work together on ML powered products as part of an interdisciplinary team. Machine learning talent tends to be very scarce and expensive to attract. Machinelearning projects often have unclear timelines, and there's a high degree of uncertainty to those timelines."
1,"And so that makes it very difficult to help the rest of the stakeholders in your organization understand what they can really expect from the technology that you're building and what is realistic for us to achieve. So throughout the rest of this lecture, we're going to kind of touch on some of these themes and cover different aspects of this problem of working together to build ML product as an organization. So here are the pieces that we're going to cover. We're going to talk about different roles that are involved in building ML products. We're going to talk about some of the unique aspects involved in hiring. or ML platform or ML info teams, machine learning engineers, machine learning researchers, or ML scientists, data scientists. So there's a bunch of different roles here and one kind of obvious question is, what's the difference between all these different things? So let's break down the job function that each of these roles plays within the context of building the ML product. Starting with the ML product manager, their goal is to work with the ML team, the business team, the users, and any other stakeholders to prioritize projects and make sure that they're being executed","The goal is to help the rest of the stakeholders in your organization understand what they can really expect from the technology that you're building and what is realistic for us to achieve. We're going to talk about some of the unique aspects involved in hiring. or ML platform or ML info teams, machine learning engineers, machinelearning researchers, or ML scientists, data scientists."
2,"infrastructure, some shared tools that can be used across the ML teams in your company. And they're working with tools like AWS, like Kafka or other data infrastructure tools and potentially working with ML infrastructure vendors as well to sort of bring best and breed from traditional data and software tools and this new category of ML vendors that are providing like ML ops tools together to create this sort of best solution for the specific problems that your company is trying to solve. Then we have the ML engineer. ML engineer is kind of a catch all is the ML researcher. So this is a role that exists in some organizations that the responsibility stops after the model has been trained. And so oftentimes these models are either handed off to some other team to productionize or these folks are focused on building models that are not yet production critical or forward looking. Maybe they're prototyping some use cases that might be useful down the lines for the organization. And their work product is a trained model and oftentimes it's a report or a code repo that describes what this model does","ML engineer is kind of a catch all is the ML researcher. This is a role that exists in some organizations that the responsibility stops after the model has been trained. These folks are focused on building models that are not yet production critical or forward looking. They're working with tools like AWS, like Kafka or other data infrastructure tools and potentially working with ML infrastructure vendors."
3,"answering business questions using analytics. So in some organizations that data scientist is the same as an ML researcher or an ML engineer, another organization's data science is a distinct function that is responsible for answering business questions using data. The ML work is the responsibility of an ML team. So the next thing that we'll talk about is what are the different skills that you actually need to be successful in these roles? We're going to plot this on a two by two. On the x axis is the amount of skill that you need in machine learning, like how much ML do you really need to know? ML ops or ML platform engineers is they source them from MLEs at their organization. It's oftentimes like an ML engineer who used to just work on one model and then frustrated by the lack of tooling. So decided to move into more of a platform role. The ML engineer since this is someone who is required to understand the models deeply and also be able to productionize them. This tends to be a rare mix of ML skills and software engineering skills. So there's sort of two paths that I typically see for folks becoming ML engineers. Oftentimes these are software engineers who have",Data science is a distinct function that is responsible for answering business questions using data. The ML work is the responsibility of an ML team. ML ops or ML platform engineers is they source them from MLEs at their organization. This tends to be a rare mix of ML skills and software engineering skills.
4,"residency that are explicitly designed to train people without a PhD in this distinct skill of research. Since data science is kind of like a catch all term for a bunch of different roles in different organizations, it also admits a variety of different backgrounds. And oftentimes these are undergrads who want to a data science specific program or their science PhDs who are making the transition into industry. And then lastly, MLPMs, oftentimes these folks come from a traditional product management background. is the distinction between a task ML engineer and a platform ML engineer. This is a distinction that was coined by Shreya Shankar in blog posts that's linked below. And the distinction is that some ML engineers are really responsible for like one ML pipeline or maybe a handful of ML pipelines that they're assigned to. And so they're the ones that are day in and day out responsible for making sure that this model is healthy, making sure that it's being updated frequently and that any failures are sort of being accounted for. These folks are often like very overburied","Data science is kind of like a catch all term for a bunch of different roles in different organizations, it also admits a variety of different backgrounds. Some ML engineers are really responsible for like one ML pipeline or maybe a handful of ML pipelines. And then lastly, MLPMs, oftentimes these folks come from a traditional product management background."
5,"So we've talked a little bit about what are some of the different roles in the process of building ML Power products. Now let's talk about hiring. So how to think about hiring ML specialists. And if you are an ML specialist looking for a job, how to think about making yourself more attractive as a job candidate. So a few different things that we'll cover here. The first is the AI talent gap, which is sort of the reality of ML hiring these days. And we'll talk about how to source for ML engineers if you're hiring folks. We'll talk about interviewing and then last say we'll talk about finding a job. that it tends to be less of a blocker than it used to be. Because we've had four years of folks switching careers into ML and four years of software engineers emerging from undergrad with at least a couple of ML classes in many cases under their belts. So there's more and more people now that are capable of doing ML, but there's still a gap. And in particular, that gap tends to be in folks that understand more than just the underlying technology, but also have experience in seeing how it fails and how to make its accessible.","How to think about hiring ML specialists. If you are an ML specialist looking for a job, how to make yourself more attractive as a job candidate. How to source for ML engineers if you're hiring folks. We'll talk about interviewing and then last say we will talk about finding a job."
6,"that are building production ML systems because I think one sort of failure mode that I've seen relatively frequently, especially for ML platform teams is if you just bring on folks with pure software engineering background, a lot of times it's difficult for them to understand the user requirements well enough in order to engineer things that actually solve the user's problems. Users here being the task MLs who are, you know, the ones who are going to be using the infrastructure data that we'll focus for the rest of the section mostly on these two roles ML engineer and ML scientist. So there's a right and a wrong way to hire ML engineers. nothing. They need to deploy these models and monitor them in production because without deploying models, you're not actually solving a problem. So in order to fulfill all these duties, you need these requirements as this unicorn MLE role. You of course need a PhD. You need at least four years of TensorFlow experience. Four years as a software engineer, you need to have publications and nirips or other top ML conferences, experience building large scale distributed systems. And so when you add all this up, hopefully it's becoming clear why this is the wrong way to hire","ML engineers need to deploy models and monitor them in production because without deploying models, you're not actually solving a problem. You of course need a PhD. You need at least four years of TensorFlow experience. Four years as a software engineer, you need to have publications and nirips or other top ML conferences."
7,"Another approach, instead of hiring for software engineering skills and training people on the ML side is to go more junior. Most undergrads in computer science these days graduate with ML experience. And so these are folks that have traditional computer science training and some theoretical ML understanding. So they have sort of the seeds of being good at both ML and software engineering, but maybe not a lot of experience in either one. And then the third way that you can do this more effectively is to be more specific about what you really, really need for not the ML engineering on hiring people to have those skills, not these aspirational skills that you don't actually really need for your company. Next, let's talk about a couple of things I've done to be important for hiring ML researchers. The first is a lot of folks when they're hiring ML researchers, they look first at the number of publications they have in top conferences. I think it's really critical to focus entirely on the quality of publications, not the quantity. And this unfortunately requires a little bit of judgment about what high quality research looks like.","Most undergrads in computer science these days graduate with ML experience. Another approach, instead of hiring for software engineering skills and training people on the ML side is to go more junior. And then the third way that you can do this more effectively is to be more specific about what you really, really need for not the ML engineering."
8,"is looking for researchers who have an eye for working on problems that really matter. A lot of researchers, maybe through no fault of their own, because of the incentives in academia, focus on problems that are trendy. If everyone else is publishing about reinforcement learning, then they'll publish about reinforcement learning. If everyone else is publishing about generative models, then they'll make an incremental improvement to generative models to get them a publication. But what you really want to look for, I think, is folks that have an independent sense of what problems are important to work on. Because in the context of your company, This works a lot better if you do have experienced researchers who can provide mentorship and guidance for folks. I probably wouldn't hire like a first researcher that doesn't have ML experience. And then it's also worth remembering that especially these days you really don't need a PhD to do ML research. Many undergrads have a lot of experience doing ML research and graduates of some of these industrial fellowship programs like Google's or Facebook's or OpenAI's have learned the basics of how to do research regardless of whether they have a PhD.","A lot of researchers, maybe through no fault of their own, focus on problems that are trendy. What you really want to look for, I think, is folks that have an independent sense of what problems are important to work on. This works a lot better if you do have experienced researchers who can provide mentorship and guidance for folks."
9,"be doing most of the work and are generally more recruitable because they tend to be more junior in their careers. Beyond looking at papers, you can also do something similar for good reimplementation of papers that like, so if you are, you know, looking at some hot new paper and a week later, there's a reimplementation of that paper that has high quality code and hits the main results, then chances are, whoever wrote that implementation is probably pretty good. And so they could be worth recruiting. You can do a lot of this in person now that ML research conferences are back in person. of the art research. Another thing is to build knowledge in an exciting field to like a more exciting branch of ML or application of ML, working with excellent people, probably pretty consistent across many technical domains, but certainly true in ML. Working on interesting data sets, this is kind of like one unique thing in ML, since the work that you can do is constrained in many cases to the data sets that you have access to, being able to offer unique data sets can be pretty powerful. Probably again, true in general, but I've noticed for a lot of ML folks in particular, it's important for them to feel like they're doing work that really not","You can do a lot of this in person now that ML research conferences are back in person. Another thing is to build knowledge in an exciting field to like a more exciting branch of ML. Working on interesting data sets, this is kind of like one unique thing in ML. Being able to offer unique data sets can be pretty powerful."
